昵称,地区,性别,粉丝数,用户发布微博数量,评论
达不溜到处乱跑,四川,女,441,370,"<a href=/n/Zzz舟舟冬眠中 usercard=""name=@Zzz舟舟冬眠中"">@Zzz舟舟冬眠中</a> <img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" /><img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" /><img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />"
守护最好的pbj,山东,女,2887,1959,这波站徐娇，公共场合吸烟的人必须抵制
员外叔2012,新疆,男,210703,31695,原来长沙室内不禁烟，但是这波支持徐娇。
薄建辉,河南,男,795900,109394,"除了“老烟枪”，谁也不想闻烟味儿！公共场合禁烟，必须下狠手。<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
时间流浪者-2024,北京,男,11725,5132,"总不能去个文明城市结果吸二手烟不是<img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" /><img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" />"
时间流浪者-2024,北京,男,11725,5132,一问没有约束，快快其它城市快快跟上啊！你的游客，你的家人，就看这一波了
清泡兮瓜丝_戴,广东 深圳,女,270,2479,这波站徐娇，没人想吸二手烟
白条原点,广东,男,372,679,长沙室内抽烟不犯法，据此判断长沙没有室内禁止吸烟的地方法规，所以非常无奈，也只能口头劝阻一下。
愿你冬日有暖阳,其他,女,7,897,长沙瑟瑟发抖
Senoo_盐,澳门,男,2388,26780,所以规定一下
我是海浪队长,其他,男,723,944,很厉害，做了我不敢做的！
冰城的神曲,海外,女,90,9489,希望公共场合都能贴上禁烟标识
明天再学英语好了,广东 广州,男,8,1717,我幻想中我也是这样的
-葉子圆滚滚-,海外,女,279,216,重点搞错了
月亮公主要慢慢说话,浙江,女,447,4478,实则不想抽二手烟
滴雨心Beryl,上海,女,134,1216,公共场所室内禁止吸烟真的应该全国实行，经常遇到这种。虽然上海有要求，但也有很多不自觉的。吃个饭还得被动吸二手烟
520sammini,浙江 杭州,女,71,710,每家餐厅本身都会帖禁烟标示牌的吧
小树懒懒_s,其他,女,176,1171,长沙不去了
桃桃尔_,浙江,男,2049,1010,"在公共场合抽能不能去💩<img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" />"
芬兰甜酒小酒馆小y,其他,男,10483,1415,餐厅都是室内禁🚬
大笑姑婆Auntie法,上海 徐汇区,女,385,7037,反正现在吸烟没人管的 小区楼道里都是烟味
逃跑的奶黄包呀,其他,女,572,8529,那就现在规定啊，公共场合室内抽烟这合理吗
小烊没烦恼_infj版,陕西,女,364,276,哪家餐厅我壁垒一下
