昵称,地区,性别,粉丝数,用户发布微博数量,评论
暮染清沙,其他,女,165,1172,"这么说的都是一丘之貉啦～<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />他们估计也没少干这种事儿"
放工路上林新鲜,广东,男,4,305,就该给这类人挂出去，让他无地自容，让他孩子以他为榜样，玛德
我就小声蛐蛐你,海外 英国,男,112,2378,挂的好
黄美蟜,海外 其他,女,359,15,今天如果演员室内抽烟可招大罪了 现在只是作为一个普通人不喜欢闻烟味也有错了 太双标了
博学且猪猪,湖北 武汉,女,93,7,"因为他们急了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
猫在你心里Alinna,其他,女,129,517,知道他不要脸了而已哈哈哈
小心高温请勿触碰,浙江 杭州,男,5,84,"视频根本没露脸，徐娇真是冤啊<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
1赛姚明1,其他,男,0,45,KK猫摸鱼推进剂咯莫
将有时,其他,男,35,552,这玩意就跟吃狗肉一样，你不喜欢不能阻止别人，如果人人都像徐娇那样，那社会不得乱套啊，自由度都没了。必须按照她的想法来，她不喜欢闻烟味，她自己抽电子烟
甜茶小纯,湖南 长沙,男,155,36,"是的 电梯里也有很多老男人抽烟<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
唉想不到呦,北京 东城区,女,130,1393,"法律也没规定不能在饭店里拉屎<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />那长沙……"
五亩七马路,北京 海淀区,男,178,1182,有文明宣传，所以，不违法，但缺德。
诗韵戏红颜,浙江,男,107,801,根据2019年5月1日颁布的《长沙市文明行为促进条例》第十四条第十项的规定，禁止吸烟的室内公共场所吸烟的个人将被罚款二百元，单位将被罚款二千元；在公共交通工具内吸烟的个人也将被罚款二百元‌。
我觉得不行ooo,河北 保定,女,37,322,那吸烟的人会对那些吸二手烟的人负责吗，凭什么打着自由的旗号伤害别人的身体啊
Is雪泥,其他,女,61,436,yes 你是不知道那群烟鬼多恶心，还守护解放西，回到解放前还差不多
长瓜沙鼠,湖南 长沙,女,664,379,"深受其害<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />但是也没人管 看到抽烟人多的店直接掉头不吃了"
TFN086123,广东 韶关,男,11,44,不止这一个城市没有
半颗心的暖qq,其他,男,1,3,不可能全国
一念随剑影,其他,男,363,10113,"广东有推行噢<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />欢迎来广东玩<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
yinvermouth,北京 东城区,男,491,3437,我以为只有北方城市管理差，原来真的都一样
剑出黑洞,其他,男,5,134,是真没有，饭店属于私人经营场所，是否禁止场所内禁止吸烟，是否能带宠物进去，他们同时也有权选择不做某个人的生意，性质和酒吧ktv 是一样的，都属于个人经营范畴，不属于公共场所。
你想想就好l,其他,男,365,23,谁说没有的 
阳光四射美少女,其他,女,179,9585,西安也没有 估计拆那没几个城市执行的
我很开心不想哭,其他,男,42,43,"推行个蛋 大学里面都是到处吸烟的 推行又不是强制执行<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
ol6l6,山东 泰安,女,15,227,"好嚣张的老年人<img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" />"
噜噜噜噜吃柠檬,湖南 长沙,女,94,1577,是的，特别是电梯
小猫咪今天出现了吗,云南 大理,女,106,1196,上次在长沙国金逛街，广播一直放禁止吸烟，但是地上还是有很多烟头
木羽西,湖南 长沙,女,153,2492,是真的。每天被二手烟熏！！
癸亥熠耀,山东 潍坊,女,0,36,"多学点法，不要想当然<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
wozaiyanhaididai,其他,男,4,5,算了吧 连槟榔都能扶成支柱产业的地方
日出博物馆,其他,女,390,6045,真的烦死二手烟了
iStrawberry_g6e,广西 桂林,男,11,361,"都宣传说这是有烟火气息的城市<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
红果果的果子,其他,男,1,43,长沙的12345就是个摆设 啥事都不管的  打再多投诉电话就一句话：这个事情我们管不了 你找我们 我们也没办法咯
mytrouble-,湖南 邵阳,女,1,17,是的🫡
Moriaki88,湖南 长沙,女,169,1403,是的
生活小达人2019,北京,女,1202,4419,二手烟比一手危害更大
大象R0V,江苏,男,4701,170282,"要不是明星他才不怕呢<img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" /><img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" />"
是懒羊羊大王嗷,其他,女,17,1624,"即便是徐娇 还是会遇见这种事<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
Ood06805,其他,女,38,706,"所以烟头扔进饭碗里是不需要道歉的吗？<img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" /><img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" /><img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" />"
风花雪月qxl,其他,女,38,2737,"走在路上边走边吸的能不能也罚一下<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
我是雪大锦鲤,其他,女,340,7864,公共场合吸烟真的讨人厌
skysnowss,上海,男,1102,10605,"他的道歉值几个钱啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
椰子水怎么这么难喝,其他,男,16,659,简直离谱？？？室内抽烟这么理直气壮
马家九凤,陕西,女,1984,14417,支持徐娇！
Ood06805,其他,女,38,706,"烟摁在别人饭碗里这种垃圾都不能被收拾吗<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
蟹老板在夏天做春梦,北京,男,218,486,“这位先生的意思是如果我删除拍摄的内容，他就向我道歉，警察也对此提议表示肯定，但是我不删，也不需要/接受他的道歉。”
终极不是中级,其他,女,18,3,"对啊，谁让他不要脸的，既然不要脸为啥怕别人发视频<img alt=""[吃瓜]"" title=""[吃瓜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/01/2018new_chigua_org.png"" />"
阿斗十七_,其他,女,5,3562,"所以素人就可以素质低下了吗<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />你也是爱在饭店随便乱抽烟的素人对吗<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />"
掉了颗大白兔_i,北京,女,743,124,你看见他脸和身份证啦？你去和他一起抽烟吧
榴莲你个大西瓜_噗噗,福建 厦门,女,16,1016,拍的是你？
山上的树海,其他,女,27,134,你肯定也室内抽烟，估计你媳妇孩子以后闻不完的二手烟。
是不是跑气,其他,男,40,1145,"二手烟丢你嘴里就老实了<img alt=""[哼]"" title=""[哼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7c/2018new_heng_org.png"" />"
莫言20XX,其他,男,13,466,《民法典》第1019条规定，任何组织或者个人不得以丑化、污损，或者利用信息技术手段伪造等方式侵害他人的肖像权。未经肖像权人同意，不得制作、使用、公开肖像权人的肖像，但是法律另有规定的除外。未经肖像权人同意，肖像作品权利人不得以发表、复制、发行、出租、展览等方式使用或者公开
被太阳选中的女孩,辽宁,女,116,3181,"视频里暴露了素人什么信息<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
Clfkkmmb_,其他,女,3279,8990,感觉你也是平时在公共场合抽烟让别人吸你二手烟的人
清酒独乐,其他,女,723,6437,"仅用0.01秒猜出博主性别<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
三分之一怎么被除尽,浙江 宁波,女,159,392,把烟头按在人家碗里，怎么的，还不能让人曝光啊
榛香小果果,上海 松江区,女,125,312,"不要以立场论对错，而是以对错论立场，不管她是什么人，首先她是一名公民，做的好<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />"
虎年限定Eva,浙江 杭州,女,8,34,最好把脸发出来
小阿苓,其他,女,283,3249,"<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />色狼偷拍的时候你管了吗小哥哥"
巴啦啦婕,江苏,女,40,1734,啊 那素人发素人视频怎么没见你审判呢 明星除了工作外就不是普通人了吗
Rinbow易皖洁,浙江,女,451,1928,"又没拍到脸 <img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" /><img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
Rosydiarys,北京,女,161,707,好了知道你喜欢吸二手烟了
blue香草可乐的味道,广东 广州,女,54,285,看到大家都在骂你我就放心了
人間小比格,广东 广州,男,55,332,啥
琴琴萌主,上海,女,23553,16823,你能拍公众人物， 公众人物不能拍你？
阳光哆啦,湖北 武汉,女,919,15884,说话难听，懒得说了，发一个评论然后拉黑这个博主。室内抽烟的人没素质！
哇啦哇啦乱叫,其他,女,1104,3208,"那你多吸点二手烟<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" /><img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />"
-LCuriosityyy,其他,男,583,2855,作为素人，在室内抽烟就对了吗？
Louis丶cy,四川 成都,男,1602,3889,"呵呵，就允许素人发明星？人是平等的欧克？<img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" />"
巧巧com,其他,女,14,576,烟头不应该丢碗里 应该丢你嘴里
呆萌萌呆爱杨冰怡,山东 济南,男,198,2862,那可太对了
今天早点睡欸,广东 深圳,女,80,1316,"想不明白居然有那么多人点赞<img alt=""[开摆]"" title=""[开摆]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/dc/2024_takeeasy_org.png"" />"
随哈逐牛的喵小禾,浙江 绍兴,女,288,899,强制别人吸二手烟的人不要干涉不想吸的人拒绝自由，除非戴嘴套一滴不剩自己吸光。
落叶灌木林,海外,女,280,2030,反正吸烟不犯法，拍一下怎么了 不开心嘛，烟民老登真娇气啊哈哈哈哈哈哈哈
随便吃点吧x,其他,女,118,3170,"那咋了<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
郑郑晓得了,河南,女,0,299,下次把🚬丢你饭里，别哭着找妈妈就好
看_是自由,吉林 长春,女,86,1310,素人就能把烟头扔别人碗里？？
Hhhhhhhh12h,重庆,女,9,45,我天呢 室内抽烟本来就不对 徐娇不只是为服务员发声，更是在维护大家的权益。这么喜欢抽二手烟你凑前去闻呗
做个灵魂有趣外貌美丽的人_sean,重庆 巴南区,女,19,724,公众人物怎么了，别人少发他们了吗？？公众人物看到不对的事就不能发声了？？？没人想吸二手烟
姬晋是只慈娃娃,其他,男,34,5124,": 长沙D立了么<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" /> "
清king3,浙江 宁波,男,116,2,操
小宋的圈圈,其他,女,17,93,"又没发他脸<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
最爱鹿宝lu,其他,女,31,251,"<a href=/n/槐序之厶 usercard=""name=@槐序之厶"">@槐序之厶</a>"
夕暮惜慕,宁夏 银川,女,258,7525,不会是你吧？
教主不该来蜀山探险,北京,女,9991,16476,拍到脸了？
口口_敦敦子,海外 马耳他,女,2227,49917,🤓拍的是你还是你爹，这么护着
Sherlock_kim,四川 成都,男,6,16,神金，素人是什么免死金牌？
Iknowtheresgonnabe,上海,男,11,729,所以让素人在自己被窝里抽死嘛，最好肺癌晚期化疗也救不了的那种
孟七酱,其他,女,3468,1008,应该新闻联播循环放
鱼头欣酱不打烊,广东,女,21656,1461,什么意思？女的男的错的🙃
每天都在努力反内卷,其他,女,211,1849,哇塞，你这么正义，先去管管那些微型摄像头吧
Wallacepanda,其他,女,509,13651,凭啥不呢 你都不要脸的让大家吸二手烟了 人家发了咋了 咋了 公众人物抽烟发声明 一个普通男人吸烟还摆架子
川贝枇杷猫线球,江苏 苏州,男,440,7771,这种场合抽烟的基本都是垃圾，亖了都没人可惜
YouNne,山东 青岛,女,1831,188,"曝光他名字了？还是身份了？看见他脸了吗？自己没学问就去多查查禁烟条例。当然，估计平时你也是这种毫无素质的辣鸡人，所以才共情的。不查就不查了吧<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
一周困八天00,重庆,女,3,82,"<a href=/n/小狗贝肯snowchan_bbh usercard=""name=@小狗贝肯snowchan_bbh"">@小狗贝肯snowchan_bbh</a>"
爱吃点小皇饭,江苏 淮安,女,21,91,没看过视频露出抽烟的人的脸了嘛？？
炸酱面不爱哭,其他,女,440,178,神经
一揽冬风入,其他,女,10,268,人家拍到脸了吗请问？祝你以后天天吸二手烟
Chairing,浙江,女,448,6955,懒得喷，唇珠
日酱_,广东 江门,女,6,876,那你多吸点二手烟吧
琦仔77,云南,女,3075,3428,抽烟的不会就是你吧
kieyong,湖南,女,555,2870,好了 知道你是那种让人吸二手烟的了
有躁动症的孤独患者,海南 其他,男,604,10191,呵呵！不要脸还有理？
陆小小蝶,江苏 无锡,女,471,536,你看见脸了吗？没看见吧？
記辰時暮雨,陕西,女,20,416,"请问看到脸了吗就在这里叫叫叫<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
BisayeMoment_sun,其他,女,18,16,"你眼看视频看到他脸了？咋滴他是你认识的人啊？这么维护他<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />怀疑你是不是二手烟吸多了脑子坏了<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
早种相思,北京,女,509,227,知道你抽烟了 0秒猜出你的性别 不要脸
皓晨禹兮,其他,女,18,58,我还去看了一眼哪里看见人家脸和身份证了
屁桃馒头,其他,女,3,1325,你在误导什么，根本没有录到这个男性的面部和其他身份的信息
神經湯寶寶,海外 德国,女,3201,818,把罪人丑恶的嘴脸发出来很好
携毓,其他,女,23,9,"男人好团结唷<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" /><img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />"
内娱氧气花,贵州,男,0,0,"素人身份不是你的遮羞布 恶意网暴别人被挂的时候怎么不记得自己是素人<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
-猫咪不醉-,浙江 杭州,女,255,1557,随手拍曝光不文明行为 很正义的行为 值得表扬
aaaa货车司机,浙江,女,61,1917,你看见他的脸啦？烟鬼没素质室内抽烟让人吸二手烟这就对啦？看来你也是烟鬼一枚啊
-Miyagi-,其他,女,51,1472,拍的是你？
陆之桦L,浙江 宁波,女,64,358,"那你24小时闻着二手烟吧<img alt=""[色]"" title=""[色]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9d/2018new_huaxin_org.png"" />"
快乐无敌周星星,湖南,女,133,2880,"文明人曝光不文明行为怎么了？难道你是不文明人吗<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />"
_我宝,其他,女,125,12720,你也是喜欢在公共场合抽烟的素人吗？
芝士咩咩咩啊_,云南 曲靖,女,10,20,对不对也不影响抽烟的没素质 不要跑偏话题哈 居心何在
puunii_ice,其他,女,2013,150,阳刚男就是素质低
白日梦想文J,山东,女,11409,1860,看着你就挺像那种不要脸的人的
塔塔和柳柳,其他,女,71,1343,沙雕
发呆didar,其他,女,222,0,"你喜欢蹭流量那你全家吸二手烟好吗<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
不萌大佬的小迷弟,上海,女,5743,4616,"懂点法吧<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />法盲<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />"
松茸糕ovo,其他,女,40,86,丢你嘴里就对了
茶茶甜甜向上,其他,女,76,2352,是你吧
Roseccccccc,浙江 绍兴,女,84,75,关你屁事
毛毛指南,内蒙古 呼和浩特,女,1540,222,指男为男
Libra静如止水,江苏 苏州,女,243,3728,连道德都不要的人居然还会要脸
MILILI_7,其他,男,225,855,因为没热度了
愿你冬日有暖阳,其他,女,7,897,吸烟有害健康 吸二手烟更是如此 我不想吸你的二手烟咋了
阿事儿_想见禹兮版,天津,女,157,1341,如果公众人物都不站出来说这件事不对，那还有谁能发声
Play-With-Fire-,湖北 武汉,男,423,103,丝带姐不要找存在感
钻为226,浙江 杭州,女,1,214,做得不对就要曝光他，这次如果不是公众人物发出来，还没有这么大的反响，公众人物能起到这个作用就是对得起她的身份，挺徐娇
我来互联网是来发feng哒-,湖北,女,56,91,你确实在夏天做春梦，还很难醒
茶杯和茶几,四川 成都,女,193,1199,急你🐴呢
Sarah77_,北京,女,141,1202,没有道德的人为什么不曝光呢？
微微清新L,四川,女,1691,19675,谁都不站，但是我讨厌烟味儿，所以我讨厌在公共场合抽烟的人
想去一个叫重庆的地方,山西,女,168,446,你事真多 拍到脸了 还是拍到身份证了
小薯星星qx,其他,女,43,51,"神金，他不吸烟谁拍他啊<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />"
-秋天来了吗-,广东,女,52,1718,你喜欢吸二手烟吗？
在桃00,其他,女,117,799,还有你头像最丑哈
退休之前我一定能等到现欧的糖,浙江 宁波,女,466,5943,耽误你室内吸烟了？
MD_袁燕妮yyn,陕西 咸阳,女,128,5332,对
大风歌zz_,河南 濮阳,男,4793,3502,"素人随便拍公众人物不也是随便发？<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
丹的儿媳妇,北京,女,6802,9779,"你就是那位抽烟的朋友吧<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />"
靜安夜曖橙Y,山东,女,706,10567,"发了咋了<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />你没问题誰发你<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />"
七天之后地球爆炸,北京,女,576,10728,"怎么了 拍到你你破防了<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />"
秀秀一定会越来越幸运的,山东,女,280,1046,sj
神威天降-,其他,男,22,114,"我也想说 都说了没犯法了她上去又是命令人家又是拍人家的<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />而且她不是第一次干这种事了 她之前就因为引发过一些社会纠纷上了热搜不过大家都站她那边 自此之后她就经常这么干明摆着蹭呢<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />"
不器说的老吴,北京,男,16572,1415,你自己违规，还不让人曝光了？
茉香奶茶发疯版,北京,女,281,2890,"你抽烟把脑子抽没了吧<img alt=""[可怜]"" title=""[可怜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/96/2018new_kelian_org.png"" />"
辣椒辣了辣艽艽,浙江 宁波,女,57,812,你也一起滚
Shirleyyanx666,陕西 西安,女,622,2943,有啥不对 谁让他乱抽烟 让别人吸二手烟
富婆请来包养我,江苏 苏州,男,5,73,很现实不发怎么引导
Lom阿初初啊,广东 广州,女,163,1474,那他让别人吸二手烟他对么
flutura1,其他,女,76,379,脸都不要了，还害怕被拍视频吗？有本事就别做那破事儿啊。
云端拾梦录o,广东 广州,女,1596,15146,应该把烟头丢你嘴里
Rinbow易皖洁,浙江,女,451,1928,"又没露脸 不拍他取证 难道拍你吗 <img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" /><img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[加油]"" title=""[加油]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9f/2018new_jiayou_org.png"" />"
健次在努力多多爱我,海外 英国,女,16,352,蹭什么热度啊
YCasablanca,浙江,女,81,20,先不说她是不是明星，只要是中国公民，有人在在室内吸烟，在侵犯她的生命安全，她就可以制止，可以曝光
夜的第七章609,其他,男,69,6,"公共场合你抽烟就对了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
Maossicat,广东 深圳,女,348,64,"作为素人，餐厅抽烟就对了吗<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />"
青楼白衣,其他,男,44,61,"不是明星，也不敢这么嚣张，换成你我，拍视频有用吗？<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />禁止抽烟牌子下放个烟灰缸，"
慢吞吞的羊咩咩-,山东,女,111,1396,"那就按规定来 哪里规定公众人物不能挂素人了<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />"
橙jjwo,其他,女,31,1011,那扔你碗里得了呗
施念不失恋,黑龙江,男,229,360,这名男子不应该抽烟 应该抽你
陈村草木深_824,湖南 长沙,女,189,95,我讨厌公共场合抽烟的人，我也讨厌一言不合拿出手机出来拍别人录像发网上引起网爆的人。
Bunnyoio_37,其他,女,219,233,你为了流量真是脸都不要
LLLLLLLs-m4,贵州,女,0,44,这件事情徐娇完全可以找餐厅服务员，管理人员去劝诫，为什么要自己上？作为公众人物这是在网暴别人好吗？
通往星空的门扉,其他,男,15,109,"她的解决办法只会激化矛盾，然后发wb彰显自己跃出屏幕的正义感<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />，她做事是为了自己，不是为了正义"
久成寻,浙江 台州,男,4308,12,"罚你去吸他的烟<img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" />"
会好起来的2333,北京 海淀区,女,35,352,她是公众人物但也享有普通公民的人权
兔子不住月亮上-,海外 丹麦,女,17,267,"我在猜性别游戏里以0.01秒取得胜利，你也来试试吧<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
思意绵绵1372,其他,男,29,165,这位更是重量级
